name,type,breed,age
"Pie, rufous tree",Dendrocitta vagabunda,Chloephaga melanoptera,440
"Partridge, coqui",Francolinus coqui,Colobus guerza,441
"Grenadier, purple",Uraeginthus granatina,Francolinus leucoscepus,442
"Dove, white-winged",Zenaida asiatica,Haliaeetus leucocephalus,443
"Dove, rock",Columba livia,Acrobates pygmaeus,444
Brolga crane,Grus rubicundus,Numida meleagris,445
"Langur, common",Semnopithecus entellus,Oryx gazella,446
River wallaby,Macropus agilis,Ceratotherium simum,447
"Hornbill, leadbeateri's ground",Bucorvus leadbeateri,Branta canadensis,448
American marten,Martes americana,Macropus agilis,449
Lilac-breasted roller,Coracias caudata,Choloepus hoffmani,450
"Elephant, african",Loxodonta africana,Eubalaena australis,451
Meerkat,Suricata suricatta,Isoodon obesulus,452
American marten,Martes americana,Nectarinia chalybea,453
Eastern fox squirrel,Sciurus niger,Lorythaixoides concolor,454
"Bat, little brown",Myotis lucifugus,Pteropus rufus,455
"Screamer, crested",Chauna torquata,Larus sp.,456
Common zorro,Dusicyon thous,Larus fuliginosus,457
Adouri (unidentified),unavailable,Tetracerus quadricornis,458
Blue-faced booby,Sula dactylatra,Ctenophorus ornatus,459
Chacma baboon,Papio ursinus,Sagittarius serpentarius,460
"Bear, black",Ursus americanus,Cathartes aura,461
South African hedgehog,Erinaceus frontalis,Anastomus oscitans,462
Galapagos penguin,Spheniscus mendiculus,Delphinus delphis,463
"Dog, black-tailed prairie",Cynomys ludovicianus,Haematopus ater,464
"Deer, spotted",Axis axis,Pteropus rufus,465
"Whale, baleen",Eubalaena australis,Ictonyx striatus,466
Yak,Bos mutus,Dendrocitta vagabunda,467
"Otter, brazilian",Pteronura brasiliensis,Cervus duvauceli,468
Koala,Phascolarctos cinereus,Pycnonotus nigricans,469
"Cockatoo, red-breasted",Eolophus roseicapillus,Trachyphonus vaillantii,470
"Chipmunk, least",Eutamias minimus,Paraxerus cepapi,471
"Boa, mexican",Boa constrictor mexicana,Numida meleagris,472
Bushpig,Potamochoerus porcus,unavailable,473
Paddy heron (unidentified),unavailable,Anas bahamensis,474
Snake-necked turtle,Chelodina longicollis,Eurocephalus anguitimens,475
"Stork, openbill",Anastomus oscitans,Cathartes aura,476
European red squirrel,Sciurus vulgaris,Ciconia ciconia,477
Trumpeter swan,Cygnus buccinator,Ovis dalli stonei,478
Bleeding heart monkey,Theropithecus gelada,Anas bahamensis,479
Ibex,Capra ibex,Buteo galapagoensis,480
Oriental white-backed vulture,Gyps bengalensis,Sciurus niger,481
Eastern grey kangaroo,Macropus giganteus,Cyrtodactylus louisiadensis,482
"Squirrel, pine",Tamiasciurus hudsonicus,Carduelis uropygialis,483
Brown antechinus,Antechinus flavipes,Anser anser,484
Grey phalarope,Phalaropus fulicarius,Varanus sp.,485
"Screamer, southern",Chauna torquata,Pycnonotus barbatus,486
"Whale, baleen",Eubalaena australis,Propithecus verreauxi,487
Kongoni,Alcelaphus buselaphus cokii,Leptoptilos crumeniferus,488
"Nighthawk, common",Chordeiles minor,Pavo cristatus,489
House crow,Corvus brachyrhynchos,Bubalus arnee,490
Groundhog,Marmota monax,Chelodina longicollis,491
Kafue flats lechwe,Kobus leche robertsi,Hyaena brunnea,492
Red-billed toucan,Ramphastos tucanus,Colobus guerza,493
"Rattlesnake, dusky",Crotalus triseriatus,Panthera tigris,494
Red-tailed cockatoo,Calyptorhynchus magnificus,Herpestes javanicus,495
"Vulture, black",Aegypius tracheliotus,Panthera leo,496
"Bee-eater, carmine",Merops nubicus,Lybius torquatus,497
"Crake, african black",Limnocorax flavirostra,Globicephala melas,498
Neotropic cormorant,Phalacrocorax brasilianus,Aonyx cinerea,499
"Gull, pacific",Gabianus pacificus,Pseudocheirus peregrinus,500
Kinkajou,Potos flavus,Antidorcas marsupialis,501
Western grey kangaroo,Macropus fuliginosus,Francolinus leucoscepus,502
Collared lizard,Crotaphytus collaris,Dendrohyrax brucel,503
Jabiru stork,Ephippiorhynchus mycteria,Felis concolor,504
"Grebe, little",Tachybaptus ruficollis,Pelecans onocratalus,505
"Buffalo, american",Bison bison,Lasiorhinus latifrons,506
Clark's nutcracker,Nucifraga columbiana,Anas punctata,507
Chimpanzee,Pan troglodytes,Agkistrodon piscivorus,508
Sulfur-crested cockatoo,Cacatua galerita,Equus hemionus,509
Brown and yellow marshbird,Pseudoleistes virescens,Deroptyus accipitrinus,510
"Hyena, spotted",Crocuta crocuta,Ovis ammon,511
Roan antelope,Hippotragus equinus,Antidorcas marsupialis,512
Gulls (unidentified),Larus sp.,Panthera pardus,513
"Python, carpet",Morelia spilotes variegata,Plocepasser mahali,514
Steller sea lion,Eumetopias jubatus,Otaria flavescens,515
Large cormorant,Phalacrocorax carbo,Sylvicapra grimma,516
Malay squirrel (unidentified),unavailable,Cervus unicolor,517
Common eland,Taurotagus oryx,Streptopelia senegalensis,518
"Quoll, spotted-tailed",Dasyurus maculatus,Nucifraga columbiana,519
"Baboon, gelada",Theropithecus gelada,Hymenolaimus malacorhynchus,520
Common zebra,Equus burchelli,Phoeniconaias minor,521
Ringtail,Bassariscus astutus,Camelus dromedarius,522
"Seal, northern elephant",Mirounga angustirostris,Ciconia episcopus,523
Lizard (unidentified),unavailable,Didelphis virginiana,524
Brush-tailed phascogale,Phascogale tapoatafa,Phalacrocorax carbo,525
"Bird, magnificent frigate",Fregata magnificans,Aegypius tracheliotus,526
"Bunting, crested",Melophus lathami,unavailable,527
Steenbuck,Raphicerus campestris,Lorythaixoides concolor,528
"Sparrow, house",Passer domesticus,Mazama americana,529
Hudsonian godwit,Limosa haemastica,Deroptyus accipitrinus,530
Prairie falcon,Falco mexicanus,Agkistrodon piscivorus,531
White-fronted capuchin,Cebus albifrons,Lamprotornis nitens,532
"Penguin, magellanic",Spheniscus magellanicus,Columba palumbus,533
Kaffir cat,Felis silvestris lybica,Gazella thompsonii,534
Golden jackal,Canis aureus,Bettongia penicillata,535
Red-breasted cockatoo,Eolophus roseicapillus,unavailable,536
Crimson-breasted shrike,Laniaurius atrococcineus,Corvus brachyrhynchos,537
Warthog,Phacochoerus aethiopus,Choriotis kori,538
Indian mynah,Acridotheres tristis,unavailable,539
"Lion, asian",Panthera leo persica,Haliaetus leucogaster,540
"Baboon, yellow",Papio cynocephalus,Lemur fulvus,541
Canadian tiger swallowtail butterfly,Papilio canadensis,Chlidonias leucopterus,542
"Kiskadee, great",Pitangus sulphuratus,Megaderma spasma,543
"Ibis, sacred",Threskionis aethiopicus,Kobus vardonii vardoni,544
"Lemur, grey mouse",Microcebus murinus,Tenrec ecaudatus,545
"Bustard, kori",Choriotis kori,Vulpes vulpes,546
"Tortoise, asian foreset",Manouria emys,Ovis musimon,547
"Reedbuck, bohor",Redunca redunca,Gyps fulvus,548
"Lapwing, southern",Vanellus chilensis,Spermophilus tridecemlineatus,549
"Beaver, european",Castor fiber,Acrobates pygmaeus,550
"Lemur, sportive",Lepilemur rufescens,Ardea golieth,551
"Crab, red lava",Graspus graspus,Canis mesomelas,552
Eastern quoll,Dasyurus viverrinus,Tursiops truncatus,553
Lappet-faced vulture,Aegypius tracheliotus,Sus scrofa,554
Springbuck,Antidorcas marsupialis,Uraeginthus angolensis,555
Indian jackal,Canis aureus,Alectura lathami,556
"Tortoise, galapagos",Geochelone elephantopus,Picoides pubescens,557
"Dunnart, fat-tailed",Smithopsis crassicaudata,Mazama gouazoubira,558
Malabar squirrel,Ratufa indica,Crotalus adamanteus,559
"Hawk-eagle, crowned",Spizaetus coronatus,Dasyurus viverrinus,560
Harbor seal,Phoca vitulina,Coluber constrictor foxii,561
Square-lipped rhinoceros,Ceratotherium simum,Trichoglossus chlorolepidotus,562
"Bird, secretary",Sagittarius serpentarius,unavailable,563
American crow,Corvus brachyrhynchos,Cygnus buccinator,564
King vulture,Sarcorhamphus papa,Sciurus niger,565
Grey phalarope,Phalaropus fulicarius,Felis concolor,566
Egyptian vulture,Neophron percnopterus,Megaderma spasma,567
"Gnu, brindled",Connochaetus taurinus,Uraeginthus angolensis,568
"Squirrel, uinta ground",Spermophilus armatus,Ursus americanus,569
Magistrate black colobus,Colobus guerza,Neotis denhami,570
"Squirrel, grey-footed",Paraxerus cepapi,Lorythaixoides concolor,571
South American puma,Felis concolor,Gekko gecko,572
Gecko (unidentified),unavailable,Macropus agilis,573
"Weaver, chestnut",Ploceus rubiginosus,Haliaetus leucogaster,574
"Squirrel, arctic ground",Spermophilus parryii,Macropus robustus,575
"Python, carpet",Morelia spilotes variegata,Cathartes aura,576
Cuis,Microcavia australis,Dipodomys deserti,577
Campo flicker,Colaptes campestroides,Ramphastos tucanus,578
"Teal, hottentot",Anas punctata,Trichosurus vulpecula,579
Sidewinder,Crotalus cerastes,Acridotheres tristis,580
"Raven, white-necked",Corvus albicollis,Estrilda erythronotos,581
Currasow (unidentified),Crax sp.,Dasyurus maculatus,582
"Bat, little brown",Myotis lucifugus,Pycnonotus barbatus,583
Four-horned antelope,Tetracerus quadricornis,Callorhinus ursinus,584
Black-collared barbet,Lybius torquatus,Limnocorax flavirostra,585
Black curlew,Haematopus ater,Irania gutteralis,586
Stick insect,Leprocaulinus vipera,Panthera pardus,587
Gila monster,Heloderma horridum,Paraxerus cepapi,588
Ground legaan,Varanus sp.,Aquila chrysaetos,589
"Duiker, common",Sylvicapra grimma,Bison bison,590
Brown brocket,Mazama gouazoubira,Ursus americanus,591
Yellow-billed hornbill,Tockus flavirostris,Haliaeetus leucocephalus,592
Turkey vulture,Cathartes aura,Tamiasciurus hudsonicus,593
Asiatic jackal,Canis aureus,Buteo galapagoensis,594
"Stork, jabiru",Ephippiorhynchus mycteria,Graspus graspus,595
Red brocket,Mazama americana,Diomedea irrorata,596
Barking gecko,Phylurus milli,Colaptes campestroides,597
Mallard,Anas platyrhynchos,Aegypius tracheliotus,598
"Sheep, american bighorn",Ovis canadensis,Cereopsis novaehollandiae,599
"Opossum, american virginia",Didelphis virginiana,Nasua narica,600
Red hartebeest,Alcelaphus buselaphus caama,Mustela nigripes,601
"Monitor, water",Varanus salvator,Anser anser,602
Green-winged trumpeter,Psophia viridis,Heloderma horridum,603
"Crab, sally lightfoot",Graspus graspus,Parus atricapillus,604
"Kangaroo, black-faced",Macropus fuliginosus,Cacatua galerita,605
"Robin, kalahari scrub",Certotrichas paena,Colobus guerza,606
Scaly-breasted lorikeet,Trichoglossus chlorolepidotus,Sus scrofa,607
Pied cormorant,Phalacrocorax varius,Charadrius tricollaris,608
"Jackal, golden",Canis aureus,Centrocercus urophasianus,609
Australian masked owl,Tyto novaehollandiae,Myiarchus tuberculifer,610
Indian giant squirrel,Ratufa indica,Varanus salvator,611
Tawny frogmouth,Podargus strigoides,Macaca mulatta,612
"Squirrel, smith's bush",Paraxerus cepapi,Pelecanus conspicillatus,613
"Stork, european",Ciconia ciconia,Centrocercus urophasianus,614
"Dragonfly, russian",Libellula quadrimaculata,Dusicyon thous,615
Asian water dragon,Physignathus cocincinus,Litrocranius walleri,616
Pig-tailed macaque,Macaca nemestrina,Phalacrocorax carbo,617
"White-eye, cape",Zosterops pallidus,Sylvilagus floridanus,618
"Squirrel, red",Tamiasciurus hudsonicus,Crocuta crocuta,619
Emerald-spotted wood dove,Turtur chalcospilos,Paradoxurus hermaphroditus,620
Gaur,Bos frontalis,Castor canadensis,621
"Bird, pied butcher",Cracticus nigroagularis,Casmerodius albus,622
"Gazelle, thomson's",Gazella thompsonii,Neophron percnopterus,623
"Loris, slender",Loris tardigratus,Phoca vitulina,624
House sparrow,Passer domesticus,Dasyurus maculatus,625
"Tenrec, tailless",Tenrec ecaudatus,Ictalurus furcatus,626
"Kite, black",Milvus migrans,Pycnonotus nigricans,627
Two-toed sloth,Choloepus hoffmani,Mazama gouazoubira,628
"Waxbill, violet-eared",Uraeginthus granatina,Alopochen aegyptiacus,629
"Armadillo, nine-banded",Dasypus novemcinctus,Ephippiorhynchus mycteria,630
Japanese macaque,Macaca fuscata,Ursus americanus,631
Southern elephant seal,Mirounga leonina,Limnocorax flavirostra,632
"Rhea, greater",Rhea americana,Felis concolor,633
Common wombat,Vombatus ursinus,Alces alces,634
Common dolphin,Delphinus delphis,Nyctea scandiaca,635
"Kookaburra, laughing",Dacelo novaeguineae,Anthropoides paradisea,636
"Dove, mourning collared",Streptopelia decipiens,Trichoglossus chlorolepidotus,637
Fat-tailed dunnart,Smithopsis crassicaudata,Streptopelia senegalensis,638
Great egret,Casmerodius albus,Francolinus coqui,639
Bonnet macaque,Macaca radiata,Theropithecus gelada,640
Numbat,Myrmecobius fasciatus,Crotalus cerastes,641
Oriental short-clawed otter,Aonyx cinerea,Rhea americana,642
"Stork, jabiru",Ephippiorhynchus mycteria,Gabianus pacificus,643
African skink,Mabuya spilogaster,Alopochen aegyptiacus,644
Cattle egret,Bubulcus ibis,Carduelis uropygialis,645
"Cockatoo, roseate",Eolophus roseicapillus,Vulpes chama,646
Swamp deer,Cervus duvauceli,Gopherus agassizii,647
"Heron, boat-billed",Cochlearius cochlearius,Tadorna tadorna,648
African ground squirrel (unidentified),Xerus sp.,Choloepus hoffmani,649
"Otter, giant",Pteronura brasiliensis,Laniaurius atrococcineus,650
Galapagos tortoise,Geochelone elephantopus,Phascogale tapoatafa,651
African ground squirrel (unidentified),Xerus sp.,Coluber constrictor,652
"Oryx, beisa",Oryx gazella,Anthropoides paradisea,653
Mocking cliffchat,Thamnolaea cinnmomeiventris,Microcebus murinus,654
Pacific gull,Gabianus pacificus,Bassariscus astutus,655
"Crab, sally lightfoot",Graspus graspus,Tyto novaehollandiae,656
"Jackal, asiatic",Canis aureus,Panthera leo,657
"Eland, common",Taurotagus oryx,Ornithorhynchus anatinus,658
"Lemur, sportive",Lepilemur rufescens,Bucephala clangula,659
"Bat, little brown",Myotis lucifugus,Phalaropus lobatus,660
Rufous-collared sparrow,Zonotrichia capensis,Caiman crocodilus,661
"Fox, asian red",Vulpes vulpes,Anas punctata,662
"Peccary, white-lipped",Tayassu pecari,Geochelone elegans,663
"Lynx, african",Felis caracal,Tetracerus quadricornis,664
"Weaver, white-browed sparrow",Plocepasser mahali,Cyrtodactylus louisiadensis,665
Agama lizard (unidentified),Agama sp.,Upupa epops,666
"Whale, southern right",Eubalaena australis,Bison bison,667
"Heron, goliath",Ardea golieth,Varanus sp.,668
"Capuchin, white-fronted",Cebus albifrons,Marmota monax,669
Egyptian viper,Naja haje,Pavo cristatus,670
Openbill stork,Anastomus oscitans,Anastomus oscitans,671
"Cockatoo, sulfur-crested",Cacatua galerita,Uraeginthus bengalus,672
"Cormorant, great",Phalacrocorax carbo,Damaliscus dorcas,673
Steenbok,Raphicerus campestris,Eumetopias jubatus,674
Royal tern,Thalasseus maximus,Coendou prehensilis,675
Andean goose,Chloephaga melanoptera,Phoca vitulina,676
"Plover, blacksmith",Vanellus armatus,Cebus apella,677
Red-capped cardinal,Paroaria gularis,Haliaetus leucogaster,678
Roe deer,Capreolus capreolus,Ephipplorhynchus senegalensis,679
Red-billed tropic bird,Phaethon aethereus,Corythornis cristata,680
"Rattlesnake, dusky",Crotalus triseriatus,Macropus robustus,681
Kinkajou,Potos flavus,Uraeginthus angolensis,682
"Albatross, waved",Diomedea irrorata,Tayassu pecari,683
"Pelican, australian",Pelecanus conspicillatus,Otocyon megalotis,684
"Wallaby, red-necked",Macropus rufogriseus,Aepyceros mylampus,685
"Squirrel, uinta ground",Spermophilus armatus,Tapirus terrestris,686
Barasingha deer,Cervus duvauceli,Stercorarius longicausus,687
Defassa waterbuck,Kobus defassa,Dromaeus novaehollandiae,688
"Lechwe, kafue flats",Kobus leche robertsi,Acrobates pygmaeus,689
"Spoonbill, white",Platalea leucordia,Bos taurus,690
"Wolf, timber",Canis lupus lycaon,Macropus fuliginosus,691
Nelson ground squirrel,Ammospermophilus nelsoni,Macropus giganteus,692
"Bee-eater, carmine",Merops nubicus,Dusicyon thous,693
White-headed vulture,Aegypius occipitalis,Tragelaphus strepsiceros,694
"Woodcock, american",Scolopax minor,unavailable,695
"Bear, american black",Ursus americanus,Amblyrhynchus cristatus,696
Civet cat,Bassariscus astutus,Myrmecophaga tridactyla,697
Tayra,Eira barbata,Cebus apella,698
Southern screamer,Chauna torquata,Hippotragus equinus,699
"Deer, red",Cervus elaphus,Chauna torquata,700
Long-billed corella,Cacatua tenuirostris,Loxodonta africana,701
Red-tailed cockatoo,Calyptorhynchus magnificus,Spheniscus magellanicus,702
Komodo dragon,Varanus komodensis,Cebus apella,703
"Hyena, spotted",Crocuta crocuta,Uraeginthus granatina,704
Comb duck,Sarkidornis melanotos,Philetairus socius,705
"Barbet, crested",Trachyphonus vaillantii,Tachyglossus aculeatus,706
"Oystercatcher, blackish",Haematopus ater,Paroaria gularis,707
Alpaca,Lama pacos,Varanus albigularis,708
"Raccoon, common",Procyon lotor,Antechinus flavipes,709
Hoffman's sloth,Choloepus hoffmani,Echimys chrysurus,710
Common zorro,Dusicyon thous,Parus atricapillus,711
Four-horned antelope,Tetracerus quadricornis,Spermophilus armatus,712
Native cat,Dasyurus viverrinus,Loris tardigratus,713
Fisher,Martes pennanti,Cercopithecus aethiops,714
Great egret,Casmerodius albus,Rhea americana,715
Steller's sea lion,Eumetopias jubatus,Tapirus terrestris,716
"Glider, sugar",Petaurus breviceps,Spheniscus mendiculus,717
"Legaan, Monitor (unidentified)",Varanus sp.,Diomedea irrorata,718
Black bear,Ursus americanus,Odocoileus hemionus,719
Crab-eating raccoon,Procyon cancrivorus,Gyps bengalensis,720
Blackbuck,Antilope cervicapra,Psophia viridis,721
Swallow (unidentified),unavailable,Terrapene carolina,722
"Hartebeest, red",Alcelaphus buselaphus caama,Eudromia elegans,723
"Jackal, asiatic",Canis aureus,Cynictis penicillata,724
Komodo dragon,Varanus komodensis,Sciurus niger,725
"Genet, small-spotted",Genetta genetta,Canis aureus,726
Crowned hawk-eagle,Spizaetus coronatus,Branta canadensis,727
"Cobra, egyptian",Naja haje,Chauna torquata,728
Silver-backed jackal,Canis mesomelas,Lutra canadensis,729
Western patch-nosed snake,Salvadora hexalepis,Hystrix indica,730
Tailless tenrec,Tenrec ecaudatus,Laniaurius atrococcineus,731
Common boubou shrike,Laniarius ferrugineus,Canis lupus,732
Swainson's francolin,Francolinus swainsonii,Pelecanus occidentalis,733
Madagascar fruit bat,Pteropus rufus,Chelodina longicollis,734
Defassa waterbuck,Kobus defassa,Recurvirostra avosetta,735
"Colobus, magistrate black",Colobus guerza,Anastomus oscitans,736
Gray langur,Semnopithecus entellus,Orcinus orca,737
Genoveva,Junonia genoveua,Macropus rufus,738
"Langur, common",Semnopithecus entellus,Choloepus hoffmani,739
"Gull, herring",unavailable,Varanus sp.,740
Herring gull,unavailable,Marmota monax,741
"Shark, blue",Prionace glauca,Spizaetus coronatus,742
"Fox, silver-backed",Vulpes chama,Buteo galapagoensis,743
"Seal, harbor",Phoca vitulina,Vanellus sp.,744
Blue crane,Anthropoides paradisea,Himantopus himantopus,745
Common wombat,Vombatus ursinus,Bison bison,746
Coyote,Canis latrans,Chamaelo sp.,747
"Grenadier, purple",Uraeginthus granatina,Petaurus norfolcensis,748
Gray rhea,Rhea americana,Mephitis mephitis,749
North American porcupine,Erethizon dorsatum,Ctenophorus ornatus,750
"Sparrow, house",Passer domesticus,Tachybaptus ruficollis,751
Rhesus macaque,Macaca mulatta,Canis lupus baileyi,752
Red-necked phalarope,Phalaropus lobatus,Zosterops pallidus,753
Western patch-nosed snake,Salvadora hexalepis,Phalacrocorax carbo,754
Arctic fox,Alopex lagopus,Myotis lucifugus,755
"Tortoise, asian foreset",Manouria emys,Sula dactylatra,756
"Langur, common",Semnopithecus entellus,Notechis semmiannulatus,757
Glossy starling (unidentified),Lamprotornis sp.,Ovis ammon,758
Kelp gull,Larus dominicanus,Corythornis cristata,759
Steenbuck,Raphicerus campestris,Cervus elaphus,760
Darwin ground finch (unidentified),Geospiza sp.,Bettongia penicillata,761
Black-backed magpie,Gymnorhina tibicen,Phalaropus fulicarius,762
"Waxbill, violet-eared",Uraeginthus granatina,Podargus strigoides,763
American Virginia opossum,Didelphis virginiana,Papio cynocephalus,764
"Kangaroo, red",Macropus rufus,Neophron percnopterus,765
Arctic ground squirrel,Spermophilus parryii,Nycticorax nycticorax,766
Kirk's dik dik,Madoqua kirkii,Mazama americana,767
"Teal, hottentot",Anas punctata,Mungos mungo,768
"Wallaby, euro",Macropus robustus,Aonyx cinerea,769
Red and blue macaw,Ara chloroptera,Anthropoides paradisea,770
"Legaan, ground",Varanus sp.,Balearica pavonina,771
Koala,Phascolarctos cinereus,Oncorhynchus nerka,772
"Phalarope, red",Phalaropus fulicarius,Papio cynocephalus,773
Springbok,Antidorcas marsupialis,Dasyurus viverrinus,774
Dama wallaby,Macropus eugenii,Vulpes vulpes,775
"Cat, cape wild",Felis libyca,Lybius torquatus,776
King vulture,Sarcorhamphus papa,unavailable,777
White-tailed deer,Odocoilenaus virginianus,Genetta genetta,778
African fish eagle,Haliaetus vocifer,Toxostoma curvirostre,779
"Glider, sugar",Petaurus breviceps,Spilogale gracilis,780
"Lory, rainbow",Trichoglossus haematodus moluccanus,Larus fuliginosus,781
Vine snake (unidentified),Oxybelis sp.,Phalacrocorax carbo,782
"Buffalo, american",Bison bison,Choloepus hoffmani,783
"Hoopoe, eurasian",Upupa epops,Procyon cancrivorus,784
Hottentot teal,Anas punctata,Stenella coeruleoalba,785
Greater kudu,Tragelaphus strepsiceros,Milvus migrans,786
Crowned eagle,Spizaetus coronatus,Ephippiorhynchus mycteria,787
Flying fox (unidentified),unavailable,Pavo cristatus,788
"Stork, marabou",Leptoptilos crumeniferus,Cebus apella,789
Plains zebra,Equus burchelli,Hystrix cristata,790
White rhinoceros,Ceratotherium simum,Pelecans onocratalus,791
Aardwolf,Proteles cristatus,Sula dactylatra,792
Southern lapwing,Vanellus chilensis,Francolinus coqui,793
"Heron, black-crowned night",Nycticorax nycticorax,Corvus brachyrhynchos,794
Gaur,Bos frontalis,Eumetopias jubatus,795
Crested screamer,Chauna torquata,Macaca fuscata,796
Fork-tailed drongo,Dicrurus adsimilis,Mirounga angustirostris,797
"Capuchin, white-fronted",Cebus albifrons,Pteropus rufus,798
Snake-necked turtle,Chelodina longicollis,Laniaurius atrococcineus,799
Emu,Dromaeus novaehollandiae,Snycerus caffer,800
Galapagos albatross,Diomedea irrorata,Tamandua tetradactyla,801
African red-eyed bulbul,Pycnonotus nigricans,Chlidonias leucopterus,802
Secretary bird,Sagittarius serpentarius,Ephipplorhynchus senegalensis,803
"Fox, asian red",Vulpes vulpes,Procyon lotor,804
"Fox, north american red",Vulpes vulpes,Connochaetus taurinus,805
Wolf spider,Lycosa godeffroyi,Lutra canadensis,806
Tsessebe,Damaliscus lunatus,Eubalaena australis,807
Red-billed tropic bird,Phaethon aethereus,Kobus defassa,808
"Woodcock, american",Scolopax minor,Sciurus niger,809
Ground monitor (unidentified),Varanus sp.,Bettongia penicillata,810
"Duck, mountain",Hymenolaimus malacorhynchus,Hyaena brunnea,811
"Moccasin, water",Agkistrodon piscivorus,Bettongia penicillata,812
Agile wallaby,Macropus agilis,Dacelo novaeguineae,813
Pallas's fish eagle,Haliaeetus leucoryphus,Vombatus ursinus,814
Bent-toed gecko,Cyrtodactylus louisiadensis,Dusicyon thous,815
Red-breasted cockatoo,Eolophus roseicapillus,Ovis ammon,816
Eastern white pelican,Pelecans onocratalus,Nectarinia chalybea,817
"Lizard, blue-tongued",Tiliqua scincoides,Lepus arcticus,818
House sparrow,Passer domesticus,Dendrohyrax brucel,819
"Dove, little brown",Streptopelia senegalensis,Limnocorax flavirostra,820
Blue-breasted cordon bleu,Uraeginthus angolensis,Paradoxurus hermaphroditus,821
"Squirrel, red",Tamiasciurus hudsonicus,Gabianus pacificus,822
"Admiral, indian red",Vanessa indica,Felis chaus,823
"Vulture, black",Aegypius tracheliotus,Callipepla gambelii,824
"Porcupine, prehensile-tailed",Coendou prehensilis,Nycticorax nycticorax,825
"Beaver, european",Castor fiber,Threskionis aethiopicus,826
Red-shouldered glossy starling,Lamprotornis nitens,Laniarius ferrugineus,827
Long-billed cockatoo,Cacatua tenuirostris,Myrmecophaga tridactyla,828
"Kiskadee, great",Pitangus sulphuratus,Terrapene carolina,829
"Wolf, mexican",Canis lupus baileyi,Taxidea taxus,830
Crested barbet,Trachyphonus vaillantii,Cercopithecus aethiops,831
"Stork, jabiru",Ephippiorhynchus mycteria,Anser caerulescens,832
Magnificent frigate bird,Fregata magnificans,Isoodon obesulus,833
Eastern indigo snake,Drymarchon corias couperi,Plectopterus gambensis,834
"Bear, american black",Ursus americanus,Anas punctata,835
Common waterbuck,Kobus defassa,Hystrix indica,836
European red squirrel,Sciurus vulgaris,Tenrec ecaudatus,837
"Boa, columbian rainbow",Epicrates cenchria maurus,Lasiodora parahybana,838
Blue peacock,Pavo cristatus,Leptoptilus dubius,839
Sarus crane,Grus antigone,Butorides striatus,840
"Squirrel, eurasian red",Sciurus vulgaris,Loris tardigratus,841
"Coot, red-knobbed",Fulica cristata,Crocuta crocuta,842
"Jackal, golden",Canis aureus,Perameles nasuta,843
Radiated tortoise,Geochelone radiata,Anser anser,844
Savanna fox,Dusicyon thous,Geochelone elephantopus,845
Rhesus monkey,Macaca mulatta,Naja nivea,846
Red kangaroo,Macropus rufus,Papilio canadensis,847
"Heron, little",Butorides striatus,Eutamias minimus,848
Masked booby,Sula dactylatra,Sauromalus obesus,849
Rock dove,Columba livia,Lasiorhinus latifrons,850
"Boa, malagasy ground",Acrantophis madagascariensis,Cebus apella,851
"Mongoose, yellow",Cynictis penicillata,Corvus albicollis,852
Turtle (unidentified),unavailable,Meles meles,853
Collared lizard,Crotaphytus collaris,Zalophus californicus,854
"Heron, gray",Ardea cinerea,Chlamydosaurus kingii,855
Sugar glider,Petaurus breviceps,Naja haje,856
Vervet monkey,Cercopithecus aethiops,Tetracerus quadricornis,857
"Bison, american",Bison bison,Propithecus verreauxi,858
"Grebe, little",Tachybaptus ruficollis,Bucephala clangula,859
Warthog,Phacochoerus aethiopus,Nannopterum harrisi,860
"Moorhen, purple",Porphyrio porphyrio,Taurotagus oryx,861
"Hare, arctic",Lepus arcticus,Anastomus oscitans,862
Red-billed tropic bird,Phaethon aethereus,Carduelis pinus,863
"Racer, blue",Coluber constrictor foxii,Bettongia penicillata,864
Emu,Dromaeus novaehollandiae,Gopherus agassizii,865
"Pigeon, wood",Columba palumbus,Rhea americana,866
Barasingha deer,Cervus duvauceli,Dasyurus maculatus,867
"Genet, common",Genetta genetta,Balearica pavonina,868
South African hedgehog,Erinaceus frontalis,Sula dactylatra,869
"Jackal, asiatic",Canis aureus,Melursus ursinus,870
"Fox, blue",Alopex lagopus,Mabuya spilogaster,871
Red-tailed hawk,Buteo jamaicensis,Isoodon obesulus,872
"Mongoose, javan gold-spotted",Herpestes javanicus,Oryx gazella,873
Red-billed buffalo weaver,Bubalornis niger,Climacteris melanura,874
"Squirrel, thirteen-lined",Spermophilus tridecemlineatus,Platalea leucordia,875
"Ibis, sacred",Threskionis aethiopicus,Phascogale tapoatafa,876
Fat-tailed dunnart,Smithopsis crassicaudata,Zalophus californicus,877
"Grenadier, common",Uraeginthus granatina,Cracticus nigroagularis,878
Coqui partridge,Francolinus coqui,Agkistrodon piscivorus,879
"Stork, black-necked",Ephippiorhynchus mycteria,Hippotragus equinus,880
"Flicker, field",Colaptes campestroides,Eolophus roseicapillus,881
Common turkey,Meleagris gallopavo,Coracias caudata,882
Nine-banded armadillo,Dasypus novemcinctus,Ceratotherium simum,883
Malagasy ground boa,Acrantophis madagascariensis,Cervus canadensis,884
Eastern quoll,Dasyurus viverrinus,Cynictis penicillata,885
"Hawk, ferruginous",Buteo regalis,Geochelone radiata,886
